,First Name_GAA,Last Name_GAA,Team_GAA,TOI,GAA_GAA,GSAA_GAA,SV%_GAA,TrueSV%_GAA,ExpSV%_GAA,xGSAA_GAA,CA_GAA,FA_GAA,SA_GAA,xGA_GAA,GA_GAA,HighS_GAA,HighG_GAA,HighSV%_GAA,MedS_GAA,MedG_GAA,LowS_GAA,LowG_GAA,AdjSV%_GAA,Dist_GAA,Reb_GAA,Rush_GAA,DS_GAA,PenT_GAA,PenD_GAA,PenDf_GAA,CF_GAA,FF_GAA,SF_GAA,xGF_GAA,GF_GAA,RebF_GAA,RushF_GAA,Supp_GAA,ZS%_GAA,OZS_GAA,DZS_GAA,NZS_GAA,Last Name_injuries,First Name_injuries,Team_injuries,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,GP,GS,GR,W,L,T,OTL,SA_injuries,SV,GA_injuries,SV%_injuries,GAA_injuries,GSAA_injuries,MIN,SO,G,A,PTS,PIM,PenT_injuries,PenD_injuries,PenDf_injuries,Supp_injuries,QoC,StMin,StSV,StGA,StSV%,StGAA,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,Dist_injuries,Reb_injuries,Rush_injuries,DS_injuries,HighS_injuries,HighG_injuries,HighSV%_injuries,MedS_injuries,MedG_injuries,LowS_injuries,LowG_injuries,AdjSV%_injuries,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%.1,CA_injuries,FA_injuries,SA.1,xGA_injuries,GA.1,TrueSV%_injuries,ExpSV%_injuries,xGSAA_injuries,ZS%_injuries,OZS_injuries,DZS_injuries,NZS_injuries,CF_injuries,FF_injuries,SF_injuries,xGF_injuries,GF_injuries,RebF_injuries,RushF_injuries,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,Pace,1st,2nd,3rd,Star,GPS,Ginj,Injuries,CHIP
22,Driedger,Chris,OTT,32.42,7.402837754472547,-2.925332,0.7142857142857143,0.8888888888888888,0.9042857142857142,-2.66,36,23,14,1.34,4,1,1,0.0,5,1,8,2,0.610495,28.84,1,4,5,0,0,0,27,20,13,0.93,0,2,0,0.0,0.5862068965517241,17,12,9,Driedger,Chris,OTT,1994-05-18,Winnipeg,MB,CAN,CAN,76.0,205.0,L,2012.0,3.0,76.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,11.0,4.0,0.7333333333333333,6.0,-2.7019,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5500000000000003,0.0894957983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,11.0,4.0,0.7333333333333333,6.0,42.28,1.0,4.0,5.0,1.0,1.0,0.0,8.0,2.0,6.0,1.0,0.6038333333333334,14.0,4.0,0.7142857142857143,1.0,0.0,1.0,0.0,0.0,0.0,0.7395714285714287,39.0,26.0,15.0,1.44,4.0,0.8974358974358975,0.904,-2.56,0.6388888888888888,23.0,13.0,10.0,43.0,33.0,22.0,1.7000000000000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,RFA,780000.0,755000.0,122.99999999999999,,,,,-0.2,,, 
23,Dubnyk,Devan,MIN,3025.38,2.0228863812149216,10.916901999999993,0.9306594153636981,0.9634670487106017,0.9318150917743032,-1.7000000000000028,2792,2063,1471,100.3,102,226,44,0.8053097345132744,736,18,509,40,0.9195056009716598,32.67,62,106,168,2,6,4,2747,2073,1516,124.26,134,118,130,2.657517402772544,0.5018666666666667,941,934,1041,Dubnyk,Devan,MIN,1986-05-04,Regina,SK,CAN,CAN,78.0,213.0,L,2004.0,1.0,14.0,65.0,63.0,2.0,40.0,19.0,0.0,5.0,1842.0,1701.0,141.0,0.9234527687296417,2.2511974454497072,18.406680000000023,3758.0,5.0,0.0,0.0,0.0,10.0,5.0,6.0,1.0,2.680681213411389,0.0865480998,3729.2833333333,1683.0,140.0,0.9232035106966539,2.252443498974354,39.0,0.6190476190476191,7.0,1.0,28.7166666667,18.0,1.0,0.9473684210526315,2.089378990131063,31.81,92.0,112.0,204.0,330.0,66.0,0.8,667.0,57.0,842.0,18.0,0.9116822700288811,1554.0,110.0,0.9292149292149292,253.0,29.0,0.8853754940711462,35.0,2.0,0.9428571428571428,0.9231281425977078,3442.0,2564.0,1839.0,140.05,141.0,0.9590354445090064,0.9238444806960304,-0.9499999999999886,0.4982050259274033,1249.0,1258.0,1171.0,3406.0,2569.0,1875.0,167.9,191.0,152.0,146.0,20.0,7.0,0.65,3.0,2.0,M-NTC,UFA,5000000.0,4333333.0,109.3347525279404,8.0,6.0,8.0,22.0,13.1,,, 
24,Elliott,Brian,CGY,2195.05,2.1867383430901346,-2.086570000000009,0.9211822660098522,0.9576271186440678,0.9170246305418719,4.219999999999999,1888,1401,1015,84.22,80,230,48,0.7913043478260869,459,10,326,22,0.921648125786339,36.58,68,98,166,1,0,-1,2090,1527,1078,86.77,84,63,125,2.296075260244641,0.47883414295628035,690,751,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Enroth,Jhonas,TOR,211.21,4.829316793712419,-8.095608,0.853448275862069,0.9123711340206185,0.9146551724137931,-7.1,194,158,116,9.9,17,27,7,0.7407407407407407,47,3,42,7,0.8571347123719464,35.12,4,6,10,0,0,0,211,160,107,9.28,4,6,10,1.1363098338146869,0.5144927536231884,71,67,71,Enroth,Jhonas,TOR,1988-06-25,Stockholm,,SWE,SWE,70.0,175.0,L,2006.0,2.0,46.0,6.0,4.0,2.0,0.0,3.0,0.0,1.0,141.0,123.0,18.0,0.8723404255319149,3.9353819992717036,-5.79786,274.4333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1898457427430085,0.0872769103,243.0,106.0,15.0,0.8760330578512396,3.7037037037037033,0.0,0.0,0.0,0.0,31.4333333333,17.0,3.0,0.85,5.72640509014393,37.59,5.0,8.0,13.0,37.0,7.0,0.8108108108108107,51.0,8.0,53.0,3.0,0.8734740378558359,117.0,17.0,0.8547008547008547,21.0,1.0,0.9523809523809523,3.0,0.0,1.0,0.8723040293040293,242.0,190.0,141.0,12.7,18.0,0.9256198347107438,0.9099290780141844,-5.300000000000001,0.5,91.0,91.0,79.0,272.0,208.0,146.0,14.59,7.0,10.0,12.0,3.0,1.0,0.6666666666666667,0.0,1.0,,UFA,750000.0,750000.0,112.37701931253642,,,,,0.2,,, 
26,Fleury,Marc-Andre,PIT,1644.77,2.735944843351958,-5.6839140000000015,0.9169435215946844,0.9532710280373832,0.9152713178294574,1.5100000000000051,1605,1181,903,76.51,75,234,43,0.8162393162393162,366,5,303,27,0.9226272217574847,33.69,74,73,147,3,1,-2,1629,1223,923,80.7,70,79,72,2.553548520461827,0.5547024952015355,578,464,627,Fleury,Marc-Andre,PIT,1984-11-28,Sorel,QC,CAN,CAN,74.0,180.0,L,2003.0,1.0,1.0,38.0,34.0,4.0,18.0,10.0,0.0,7.0,1181.0,1074.0,107.0,0.9093988145639289,3.020821079872956,-4.7962599999999895,2125.25,1.0,0.0,0.0,0.0,6.0,3.0,2.0,-1.0,3.1890836372191504,0.0880011088,2008.7,1003.0,101.0,0.9085144927536232,3.0168765868472143,16.0,0.47058823529411764,5.0,3.0,116.55,71.0,6.0,0.922077922077922,3.088803088803089,32.26,106.0,89.0,195.0,348.0,64.0,0.8160919540229885,417.0,37.0,416.0,6.0,0.916875504503559,964.0,80.0,0.91701244813278,193.0,26.0,0.8652849740932642,24.0,1.0,0.9583333333333334,0.9104106172826235,2084.0,1548.0,1181.0,112.04,107.0,0.9486564299424184,0.9051312447078746,5.040000000000006,0.5418956043956044,789.0,667.0,724.0,2073.0,1560.0,1161.0,112.96,104.0,102.0,82.0,15.0,7.0,0.5333333333333333,2.0,3.0,"M-NTC, NMC",UFA,5750000.0,5750000.0,117.3603105516998,5.0,3.0,3.0,11.0,6.4,,, 
27,Forsberg,Anton,CBJ,47.1,3.821656050955414,-1.08095,0.88,0.9318181818181819,0.9248000000000001,-1.12,44,35,25,1.88,3,6,3,0.5,12,0,7,0,0.8928499999999999,33.1,1,2,3,0,0,0,53,38,24,3.17,3,0,3,3.821656050955414,0.5,19,19,16,Forsberg,Anton,CBJ,1992-11-27,Härnösand,,SWE,SWE,75.0,192.0,L,2011.0,7.0,188.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,23.0,4.0,0.8518518518518519,4.096728307256954,-1.66342,58.5833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.594879089617977,0.08209255530000001,58.5833333333,23.0,4.0,0.8518518518518519,4.096728307256954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.46,1.0,2.0,3.0,7.0,4.0,0.4285714285714286,8.0,0.0,12.0,0.0,0.8645714285714285,27.0,4.0,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.707888888888889,50.0,39.0,27.0,2.12,4.0,0.92,0.9214814814814815,-1.88,0.5434782608695652,25.0,21.0,18.0,58.0,41.0,26.0,3.51,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,RFA,650000.0,650000.0,110.61166429593777,,,,,0.0,,, 
28,Gibson,John,ANA,2269.48,1.8770819747254879,12.593817999999999,0.9348025711662076,0.9649901380670611,0.9170615243342516,19.319999999999993,2028,1506,1089,90.32,71,233,41,0.8240343347639485,447,10,409,20,0.9351286691184857,32.13,65,95,160,1,1,0,2105,1582,1105,98.89,78,82,117,2.0621463947688454,0.5003494060097834,716,715,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Gillies,Jon,CGY,50.17,1.1959338249950169,0.9190499999999999,0.96,0.9803921568627451,0.8676,2.31,51,42,25,3.31,1,6,0,1.0,12,0,7,1,0.9483857142857144,18.97,7,1,8,0,0,0,38,25,19,1.78,3,1,4,3.5878014749850506,0.34375,11,21,18,Gillies,Jon,CGY,1994-01-22,Concord,NH,USA,USA,78.0,223.0,L,2012.0,3.0,75.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,27.0,1.0,0.9642857142857143,1.0,1.42312,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0754124116,60.0,27.0,1.0,0.9642857142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.95,7.0,1.0,8.0,6.0,0.0,1.0,9.0,1.0,13.0,0.0,0.9573333333333334,25.0,1.0,0.96,3.0,0.0,1.0,0.0,0.0,0.0,0.94376,57.0,46.0,28.0,3.51,1.0,0.9824561403508771,0.8746428571428572,2.51,0.3902439024390244,16.0,25.0,19.0,52.0,33.0,24.0,2.71,4.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,,RFA,925000.0,925000.0,109.0,1.0,0.0,0.0,1.0,0.30000000000000004,,, 
30,Greiss,Thomas,NYI,2288.86,2.4378948472165183,-2.727888000000007,0.9209183673469388,0.9603411513859275,0.909124149659864,13.870000000000005,2345,1698,1176,106.87,93,287,52,0.8188153310104529,422,7,467,34,0.9278278182209913,30.01,69,123,192,0,4,4,2078,1545,1119,90.57,100,55,120,2.6213923088349658,0.5022255192878339,677,671,757,Greiss,Thomas,NYI,1986-01-29,Fussen,,DEU,DEU,73.0,228.0,L,2004.0,3.0,94.0,51.0,49.0,2.0,26.0,18.0,0.0,5.0,1453.0,1327.0,126.0,0.9132828630419821,2.68725155067925,-0.2573799999999977,2813.2833333333,3.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.600662334046252,0.086780617,2744.15,1300.0,121.0,0.9148486980999296,2.6456279722318388,30.0,0.6122448979591837,11.0,7.0,69.1333333333,27.0,5.0,0.84375,4.339440694312604,29.5,84.0,133.0,217.0,370.0,68.0,0.8162162162162162,604.0,47.0,479.0,11.0,0.9178588994807136,1245.0,100.0,0.9196787148594378,174.0,21.0,0.8793103448275862,34.0,5.0,0.8529411764705882,0.9122499694518439,2861.0,2086.0,1453.0,138.15,126.0,0.9559594547361062,0.9049208534067447,12.150000000000006,0.500847936687394,886.0,883.0,843.0,2562.0,1921.0,1386.0,121.94,134.0,79.0,136.0,19.0,8.0,0.5789473684210527,1.0,2.0,,UFA,2000000.0,1500000.0,115.65845364550455,2.0,6.0,6.0,14.0,8.6,,, 
31,Grubauer,Philipp,WSH,967.33,1.612686466872732,7.161183999999999,0.9398148148148148,0.968408262454435,0.918425925925926,9.240000000000002,823,605,432,35.24,26,92,15,0.8369565217391304,175,1,165,10,0.9407376700545831,36.55,32,49,81,0,1,1,911,668,476,36.87,46,25,44,2.853214518313295,0.5135623869801085,284,269,340,Grubauer,Philipp,WSH,1991-11-25,Rosenheim,,DEU,DEU,73.0,182.0,L,2010.0,4.0,112.0,24.0,19.0,5.0,13.0,6.0,0.0,2.0,585.0,542.0,43.0,0.9264957264957265,2.0402245828610055,7.6259000000000015,1264.5666666667,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.457758916097676,0.08237465620000001,1139.6333333333,504.0,37.0,0.9316081330868762,1.9479949691421787,13.0,0.6842105263157895,1.0,0.0,124.9333333333,38.0,6.0,0.8636363636363636,2.8815368196379083,32.48,48.0,55.0,103.0,149.0,26.0,0.825503355704698,235.0,16.0,201.0,1.0,0.9306140423116462,463.0,29.0,0.937365010799136,111.0,13.0,0.8828828828828829,11.0,1.0,0.9090909090909091,0.9287603157840739,1108.0,829.0,585.0,55.67,43.0,0.9611913357400722,0.9048376068376068,12.670000000000002,0.47297297297297297,385.0,429.0,385.0,1132.0,835.0,601.0,51.8,68.0,37.0,49.0,2.0,0.0,1.0,1.0,0.0,,RFA,850000.0,750000.0,106.28146664206167,6.0,1.0,0.0,7.0,4.4,,, 
32,Gudlevskis,Kristers,TBL,11.45,0.0,0.230286,1.0,1.0,0.91,0.27,7,6,3,0.27,0,0,0,0.0,1,0,2,0,0.7857000000000001,60.91,0,0,0,0,0,0,17,10,7,0.64,0,1,0,0.0,0.5,3,3,3,Gudlevskis,Kristers,TBL,1992-07-31,Aizkraukle,,LVA,LVA,75.0,223.0,L,2013.0,5.0,124.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.25962,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3537117903930134,0.10064412240000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.45,3.0,0.0,1.0,0.0,60.91,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.763,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8310000000000001,7.0,6.0,3.0,0.27,0.0,1.0,0.91,0.27,0.5,3.0,3.0,3.0,17.0,10.0,7.0,0.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,125.76419213973799,,,,,0.0,,, 
33,Gustavsson,Jonas,EDM,275.78,2.610776706070056,-2.865322000000001,0.8991596638655462,0.944954128440367,0.9221848739495798,-2.74,218,162,119,9.26,12,30,7,0.7666666666666666,49,2,40,3,0.9055767176870748,43.54,6,9,15,0,0,0,272,200,140,11.15,10,13,8,2.1756472550583803,0.5397727272727273,95,81,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Halak,Jaroslav,NYI,1242.1,2.608485629176395,-3.0300320000000056,0.9186746987951807,0.9582689335394127,0.9135391566265061,3.4099999999999966,1294,924,664,57.41,54,169,32,0.8106508875739645,284,9,211,13,0.923712999858993,31.9,34,57,91,0,0,0,1148,834,635,54.37,58,43,55,2.801706786893165,0.5059132720105125,385,376,418,Halak,Jaroslav,NYI,1985-05-13,Bratislava,,SVK,SVK,71.0,181.0,L,2003.0,9.0,271.0,28.0,26.0,2.0,12.0,9.0,0.0,5.0,885.0,810.0,75.0,0.9152542372881356,2.8028942478381964,1.5879000000000048,1605.4833333333,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.717686262703915,0.08857816460000001,1508.0333333333,769.0,70.0,0.9165673420738975,2.785084326164381,14.0,0.5384615384615384,3.0,3.0,97.45,41.0,5.0,0.8913043478260869,3.078501795792714,30.88,48.0,61.0,109.0,251.0,43.0,0.8286852589641435,303.0,21.0,331.0,11.0,0.9201893788252213,701.0,59.0,0.9158345221112696,169.0,15.0,0.9112426035502958,15.0,1.0,0.9333333333333333,0.9155665746594749,1715.0,1228.0,885.0,82.86,75.0,0.956268221574344,0.9063728813559322,7.859999999999999,0.48405253283302063,516.0,550.0,478.0,1412.0,1047.0,787.0,72.72,70.0,53.0,69.0,8.0,3.0,0.625,1.0,2.0,,UFA,4750000.0,4500000.0,116.86200417320053,4.0,1.0,1.0,6.0,5.4,,, 
35,Hammond,Andrew,OTT,161.66,3.711493257453916,-4.549898000000001,0.8591549295774648,0.9212598425196851,0.8904225352112676,-2.2199999999999998,127,100,71,7.78,10,24,4,0.8333333333333334,31,2,16,4,0.846577688172043,42.74,3,10,13,0,0,0,166,114,79,4.85,1,6,10,0.3711493257453916,0.6396396396396397,71,40,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Hellberg,Magnus,NYR,74.66,1.6072863648540048,0.07257399999999992,0.9259259259259259,0.967741935483871,0.8855555555555555,1.0899999999999999,62,41,27,3.09,2,8,2,0.75,11,0,8,0,0.9464250000000001,25.9,2,3,5,0,0,0,70,54,37,3.82,3,1,1,2.410929547281007,0.5087719298245614,29,28,24,Hellberg,Magnus,NYR,1991-04-04,Uppsala,,SWE,SWE,78.0,209.0,L,2011.0,2.0,38.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,26.0,2.0,0.9285714285714286,1.528337932497759,0.42311999999999994,78.5166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3088516238576484,0.09599359410000001,59.9833333333,22.0,2.0,0.9166666666666666,2.0005557099205338,1.0,1.0,0.0,0.0,18.5333333333,4.0,0.0,1.0,0.0,25.28,2.0,3.0,5.0,8.0,2.0,0.75,9.0,0.0,11.0,0.0,0.94075,27.0,2.0,0.9259259259259259,0.0,0.0,0.0,1.0,0.0,1.0,0.7924444444444445,66.0,42.0,28.0,3.16,2.0,0.9696969696969697,0.8871428571428571,1.1600000000000001,0.5230769230769231,34.0,31.0,26.0,80.0,62.0,45.0,4.33,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,UFA,650000.0,625000.0,111.5686690723364,0.0,0.0,1.0,1.0,0.2,,, 
37,Hellebuyck,Connor,WPG,2279.98,2.552653970648865,-6.0370300000000015,0.9181434599156119,0.9542668552569543,0.9194514767932489,-1.5499999999999972,2121,1590,1185,95.45,97,274,57,0.791970802919708,561,11,350,29,0.9171614887239568,34.86,78,152,230,0,1,1,2055,1556,1145,99.21,101,76,152,2.657918051912736,0.49743589743589745,679,686,821,Hellebuyck,Connor,WPG,1993-05-19,Commerce,MI,USA,USA,76.0,207.0,L,2012.0,5.0,130.0,56.0,53.0,3.0,26.0,19.0,0.0,4.0,1572.0,1426.0,146.0,0.9071246819338422,2.887737554323608,-9.959119999999984,3033.5166666667,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8337408178626253,0.0860407353,2958.3833333333,1399.0,144.0,0.9066753078418665,2.920514019481394,25.0,0.4716981132075472,9.0,9.0,75.1333333333,27.0,2.0,0.9310344827586207,1.597160603372492,33.42,102.0,170.0,272.0,387.0,82.0,0.7881136950904393,519.0,43.0,639.0,17.0,0.9078849747376734,1259.0,104.0,0.9173947577442415,269.0,38.0,0.8587360594795539,44.0,4.0,0.9090909090909091,0.9086395992785705,2809.0,2097.0,1545.0,138.6,142.0,0.9494482022071912,0.9102912621359224,-3.4000000000000057,0.48715313463514903,948.0,998.0,945.0,2631.0,2016.0,1485.0,143.27,147.0,108.0,175.0,16.0,4.0,0.75,3.0,1.0,,RFA,692500.0,667500.0,107.59789243507142,7.0,1.0,2.0,10.0,8.1,,, 
38,Holtby,Braden,WSH,2874.2,1.7952821654721314,17.93574799999999,0.9364844903988183,0.96662786185487,0.9119350073855244,33.239999999999995,2577,1937,1354,119.24,86,315,56,0.8222222222222222,583,4,456,26,0.9383899482912541,34.23,103,183,286,0,2,2,2745,2027,1465,124.08,132,98,155,2.7555493702595504,0.5281159420289855,911,814,1012,Holtby,Braden,WSH,1989-09-16,Lloydminster,SK,CAN,CAN,74.0,217.0,L,2008.0,4.0,93.0,63.0,63.0,0.0,42.0,13.0,0.0,6.0,1690.0,1563.0,127.0,0.9248520710059172,2.070558398623232,19.2526,3680.1666666667,9.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.7906888274987294,0.0880333583,3680.1666666667,1563.0,127.0,0.9248520710059172,2.070558398623232,39.0,0.6190476190476191,8.0,5.0,0.0,0.0,0.0,0.0,0.0,33.87,138.0,207.0,345.0,437.0,84.0,0.8077803203661327,594.0,39.0,659.0,4.0,0.9269313594794475,1453.0,95.0,0.9346180316586373,197.0,30.0,0.8477157360406091,40.0,2.0,0.95,0.9222840817702567,3249.0,2428.0,1690.0,161.74,127.0,0.9609110495537089,0.9042958579881657,34.74000000000001,0.5192387256930079,1255.0,1162.0,1147.0,3483.0,2603.0,1859.0,171.17,190.0,119.0,178.0,22.0,11.0,0.5,1.0,5.0,,UFA,7000000.0,6100000.0,109.75589873646928,11.0,8.0,7.0,26.0,12.3,,, 
39,Howard,Jimmy,DET,1096.08,2.189621195533173,0.9909079999999975,0.9250936329588015,0.9599198396793587,0.919438202247191,3.020000000000003,998,757,534,43.02,40,113,21,0.8141592920353982,251,9,170,10,0.9237038652262373,32.76,38,61,99,1,0,-1,908,688,503,39.18,31,25,49,1.696956426538209,0.4903314917127072,355,369,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Hutchinson,Michael,WPG,1072.8,2.516778523489933,-5.160522,0.9132947976878613,0.9524815205913411,0.9205009633911369,-3.740000000000002,947,703,519,41.26,45,114,26,0.7719298245614035,211,4,194,15,0.9151434967628678,30.35,31,65,96,0,0,0,915,665,467,38.95,32,32,61,1.7897091722595078,0.4669811320754717,297,339,371,Hutchinson,Michael,WPG,1990-03-02,Barrie,ON,CAN,CAN,75.0,202.0,R,2008.0,3.0,77.0,28.0,20.0,8.0,9.0,12.0,0.0,3.0,690.0,623.0,67.0,0.9028985507246376,2.9165659008465035,-7.287399999999998,1378.3333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.337605804111302,0.08634281120000001,1154.2666666667,536.0,56.0,0.9054054054054054,2.9109391244079093,8.0,0.4,1.0,2.0,224.0666666667,87.0,11.0,0.8877551020408163,2.9455519190712667,28.77,41.0,69.0,110.0,159.0,35.0,0.779874213836478,273.0,25.0,259.0,7.0,0.9024221102711669,549.0,47.0,0.9143897996357013,119.0,18.0,0.8487394957983193,22.0,2.0,0.9090909090909091,0.9046829807929134,1253.0,931.0,691.0,58.91,67.0,0.9465283320031923,0.9147467438494935,-8.090000000000003,0.45870535714285715,411.0,485.0,453.0,1146.0,840.0,592.0,53.7,51.0,40.0,73.0,0.0,0.0,0.0,0.0,0.0,,UFA,1000000.0,1150000.0,104.43047158404121,2.0,1.0,1.0,4.0,3.2,,, 
41,Hutton,Carter,STL,1127.43,2.128735265160586,-1.0816659999999985,0.9211045364891519,0.958974358974359,0.9177120315581854,1.7199999999999989,975,715,507,41.72,40,96,16,0.8333333333333334,201,5,210,19,0.9210370717839375,30.63,38,41,79,2,2,0,1003,734,501,41.24,39,32,46,2.0755168835315714,0.49519890260631,361,368,395,Hutton,Carter,STL,1985-12-19,Thunder Bay,ON,CAN,CAN,73.0,195.0,L,,,,30.0,21.0,9.0,13.0,8.0,0.0,2.0,663.0,605.0,58.0,0.9125188536953243,2.3851136013159246,-0.623979999999996,1459.05,4.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,2.346869538398273,0.0893512647,1247.4,525.0,46.0,0.9194395796847635,2.2126022126022122,11.0,0.5238095238095238,3.0,1.0,211.65,80.0,12.0,0.8695652173913043,3.401842664776754,30.07,48.0,49.0,97.0,137.0,25.0,0.8175182481751825,299.0,28.0,227.0,5.0,0.9124439409756372,536.0,44.0,0.917910447761194,112.0,13.0,0.8839285714285714,15.0,1.0,0.9333333333333333,0.9133038201847904,1264.0,930.0,663.0,58.0,58.0,0.9541139240506329,0.9125188536953243,0.0,0.48902195608782434,490.0,512.0,464.0,1266.0,940.0,659.0,57.07,65.0,43.0,52.0,4.0,1.0,0.75,1.0,0.0,,UFA,1250000.0,1125000.0,104.04030019533258,5.0,3.0,1.0,9.0,3.8,,, 
42,Jarry,Tristan,PIT,58.36,2.05620287868403,-0.15771200000000007,0.9166666666666666,0.9591836734693877,0.8879166666666667,0.69,49,37,24,2.69,2,8,0,1.0,9,1,7,1,0.9012301587301588,28.7,0,1,1,0,0,0,55,35,24,2.69,2,2,3,2.05620287868403,0.5,24,24,18,Jarry,Tristan,PIT,1995-04-29,Surrey,BC,CAN,CAN,74.0,194.0,L,2013.0,2.0,44.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,25.0,22.0,3.0,0.88,3.0638297872340425,-0.8365,58.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.747234042553192,0.0985973597,58.75,22.0,3.0,0.88,3.0638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,0.0,1.0,1.0,8.0,0.0,1.0,8.0,2.0,9.0,1.0,0.8618888888888889,24.0,2.0,0.9166666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.76175,50.0,38.0,25.0,2.74,3.0,0.94,0.8904,-0.2599999999999998,0.48,24.0,26.0,18.0,55.0,35.0,24.0,2.69,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,RFA,575000.0,630833.0,107.23404255319149,,,,,0.0,,, 
43,Johnson,Chad,CGY,1528.6,2.4728509747481358,-5.658785999999999,0.9156626506024097,0.9563409563409564,0.9078580990629184,5.829999999999998,1443,1075,747,68.83,63,178,36,0.797752808988764,298,6,271,21,0.9201160435491694,29.74,54,79,133,0,0,0,1331,975,736,58.52,52,49,76,2.0410833442365566,0.4804646251319958,455,492,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
